timestamp,report,latitude,longitude,location,source
2014-01-23 18:06:15,TRAFFIC+STOP,[notset],[notset],2978+N.+Taxiarchon+Ave,police
2014-01-23 18:07:52,PARK+CHECK,[notset],[notset],3301+N.+Taxiarchon+Ave,police
2014-01-23 18:09:22,MISDEMEANOR+ASSAULT%2dIN+PROGRESS,[notset],[notset],5367+N.+Averof+St,police
2014-01-23 18:10:02,VANDALISM%2dREPORT,[notset],[notset],6055+N.+Desafio+St,police
2014-01-23 18:13:49,TRAFFIC+STOP,[notset],[notset],Rist+Way+%2f+Exadakitiou+Way,police
2014-01-23 18:14:13,BUSINESS+CHECK,[notset],[notset],2197+Rist+Way,police
2014-01-23 18:15:33,INCOMPLETE+CALL+FOR+POLICE,[notset],[notset],N%2fA,police
2014-01-23 18:16:34,SUBJECT+STOP,[notset],[notset],N.+Pilau+St+%2f+N.+Aveny+St,police
2014-01-23 18:17:55,SUSPICIOUS+SUBJECT%2fCIRCUMSTANCES%2dIN+PROGRESS,[notset],[notset],781+S.+Maskin+St,police
2014-01-23 18:20:00,CHECK+ON+HAZARD,[notset],[notset],3776+N.+Scarkeme+St,police
2014-01-23 18:21:44,TRAFFIC+STOP,[notset],[notset],5607+N.+Bilar+St,police
2014-01-23 18:25:00,ALARM%2dSECURE+NO+CRIME,[notset],[notset],4678+N.+Delfon+St,police
2014-01-23 18:30:00,TRAFFIC+STOP,[notset],[notset],N.+Taxiarchon+Ave+%2f+N.+Agiasou+St,police
